id,source_thread_id,source_tweet_id,text,intent,escalate,reference_reply,annotator_notes
real-047,187950.0,187950,@AppleSupport watchOS 4 tiene problemas en identificar los álbumes de música en modo aleatorio,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-048,1776264.0,1776265,@AppleSupport It started on Friday when X dropped. I’ve lived at this location for 3 years. Went from 4-5 bars to 1. And my phone won’t verify 11.1.1,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-049,2330946.0,2330946,@AppleSupport why is “other” category using half the storage? #support #apple #ipad #ios11 https://t.co/3mE1l3vraF,storage_or_cloud,False,"Please review your iCloud and storage settings, remove large backups if needed, and if the issue continues, DM the device and app name so we can narrow the problem.",real tweet sample labeled using the project intent taxonomy
real-050,999856.0,999861,@AppleSupport IOS 11.1 se come la batería en iPhone 6. NO ACTUALICÉIS!!! No vuelvo a comprar iPhone en mi vida,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-051,1633536.0,1633536,"F'ing @115858 sucks! I upgraded my storage to $10 a month, I have full wifi capabilities and still cannot download @316629 new album! #Fail",device_or_accessory_setup,False,"Please restart the device, forget and re-pair the accessory, and confirm Bluetooth is enabled. If it still fails, send a DM with the device model and setup step that is failing.",real tweet sample labeled using the project intent taxonomy
real-052,2134196.0,2134196,"@115858 @917 why do i see !   ? every time someone tweets/snaps where an ""I"" is supposed to be? 🤦🏻‍♂️",other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-053,746855.0,746855,@AppleSupport siri is broken please fix her https://t.co/HSiltwUVaF,repair_or_damage,True,"We can help you find repair options or warranty coverage, and a DM with the device model and issue will help us route you correctly.",real tweet sample labeled using the project intent taxonomy
real-054,2758262.0,2758262,@115858 has just about lost my business. The updates keep making the quality of my phone worse. I have  to restart for apps to update. $600-$1000 doesn’t even last 2 years now. Enough.,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-055,335748.0,335749,@AppleSupport No it’s set as default settings,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-056,1525212.0,1525213,"@AppleSupport I’m bumping some tunes and shooting out the occasional text, Snapchat, and tweet",battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-057,33414.0,33413,@AppleSupport  https://t.co/2vVFr3ZYiK,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-058,746052.0,746053,@AppleSupport I did! Just turned it off! Thanks!,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-059,1445886.0,1445886,@AppleSupport How can I delete an old Apple account ? I don't find that on https://t.co/JMfb6Ogsyb,account_access,False,"You can reset your Apple ID or password at iforgot.apple.com. Please do not share passwords or one-time codes in public, and DM us if you still cannot sign in.",real tweet sample labeled using the project intent taxonomy
real-060,2831736.0,2831736,@115858 you guys need to fix iOS 11 for the 7plus my phone keeps freezing and I’m tired of restarting my phone.,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-061,1704016.0,1704015,Also wtf is ulwjth this dumb autocorrect. Get it together @115858,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-062,2143242.0,2143242,@AppleSupport why is this popping up every 2 minutes when I don’t send text messages 🙃 https://t.co/T6DP5EC5aY,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-063,1013013.0,1013014,@AppleSupport Recently bought d iphone 6 online. Photos which i click i cannot delete afterwards. I cant even delete multiple pics at once.,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-064,1476458.0,1476457,@462783 @115858 Has to be cause Siri and my to put people on speaker doesn’t work. And every once in a while my phone just stops working or freezes.,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-065,883155.0,883155,@115858 it is very frustrating. When you call center canon fix a simple problem! #applesucks,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-066,722028.0,722028,@115858 dont loke the obnoxiously large folder titles in the mail app and the new mail app in general is VERY buggy.,device_or_accessory_setup,False,"Please restart the device, forget and re-pair the accessory, and confirm Bluetooth is enabled. If it still fails, send a DM with the device model and setup step that is failing.",real tweet sample labeled using the project intent taxonomy
real-067,325907.0,325908,@AppleSupport I have bought a Apple care plan and after paying I came to know the warranty has been expired phone was bought on 7 oct 2016.can someone hlp,repair_or_damage,True,"We can help you find repair options or warranty coverage, and a DM with the device model and issue will help us route you correctly.",real tweet sample labeled using the project intent taxonomy
real-068,2910491.0,2910492,"@AppleSupport Yes, I can sign in elsewhere.",account_access,True,"You can reset your Apple ID or password at iforgot.apple.com. Please do not share passwords or one-time codes in public, and DM us if you still cannot sign in.",real tweet sample labeled using the project intent taxonomy
real-069,2746104.0,2746104,Can't sign in to iCloud lost all contacts on my phone. Not can I access my mail. Will not work on phone but works on iPad #icloud @115858 @AppleSupport #sos,account_access,True,"You can reset your Apple ID or password at iforgot.apple.com. Please do not share passwords or one-time codes in public, and DM us if you still cannot sign in.",real tweet sample labeled using the project intent taxonomy
real-070,1454614.0,1454614,Just got back from clicking download on each of those tracks @AppleSupport. Do the right things here. @115948 batch actions please https://t.co/nubPcYIRSA,storage_or_cloud,False,"Please review your iCloud and storage settings, remove large backups if needed, and if the issue continues, DM the device and app name so we can narrow the problem.",real tweet sample labeled using the project intent taxonomy
real-071,2311569.0,2311570,@AppleSupport Others type it,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-072,112859.0,112860,"@AppleSupport When I call the 1-800 My iPhone, the recording states “Due to the holiday, we’re offering limited product support. You will need an extended hours agreement.”",other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-073,2117333.0,2117333,"The least you can do is give us a new update to get rid of these boxes, or a new phone will do @AppleSupport",battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-074,554838.0,554838,@AppleSupport hey been on hold for 20 minutes I feel so appreciated for buying this defective phone......,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-075,2434239.0,2434240,@AppleSupport iOS 11.0.3 is installed. https://t.co/9VlJG5yNJT,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-076,1657727.0,1657727,Side note: this I️ is bullshit.  Fix this ASAP @115858,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-077,956364.0,956364,Help @AppleSupport my iPhone refuses to install an app despite having ample storage space. 😞 https://t.co/fJah0Fe9jh,storage_or_cloud,False,"Please review your iCloud and storage settings, remove large backups if needed, and if the issue continues, DM the device and app name so we can narrow the problem.",real tweet sample labeled using the project intent taxonomy
real-078,233949.0,233950,"@AppleSupport They have not. I have the push notifications show up on my homescreen, but when I go to voicemail-nada. They show up next day, sometimes",repair_or_damage,True,"We can help you find repair options or warranty coverage, and a DM with the device model and issue will help us route you correctly.",real tweet sample labeled using the project intent taxonomy
real-079,1709899.0,1709899,"@AppleSupport I’m on an iPhone 6S. Since updating to iOS11, phone calls regularly drop and GPS isn’t working. Any help? No issues before",other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-080,208231.0,208278,"@AppleSupport i am not receiving the verifctn code on my trusted numbr despite numerous requests, what could be the problem. cant even use my new device",other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-081,595773.0,595773,"@AppleSupport @115858 
Do you offer a trade-in /upgrade program for Apple Watches?",trade_in,False,"Trade-in status can be checked at apple.com/shop/trade-in/status. If the credit is missing, send the confirmation number in a DM so we can review it.",real tweet sample labeled using the project intent taxonomy
real-082,1633078.0,1633078,"Hey @115858 @AppleSupport I️ don’t need 70 emoji’s, how bout fixing this “I️ “ typo glitch first... thanks! #fixthis #annoying #I️ https://t.co/eMitF49FwI",battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-083,2304289.0,2304289,"iPhone 6s+ is sluggish, some basic functions are just not working on 11.03 @115858 each update is worse! Ugh!",battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-084,1960076.0,1960076,The new iOS has completely fucked my phone up. Cheers @115858,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-085,1339736.0,1339735,@sprintcare @432495 @431551 @115858 @115714 that’s not the issue. I’ve been charged 3 x. To have one say it’s being reserved and the other two nothing. I didn’t even know,purchase_or_duplicate_charge,True,We can review the duplicate payment in a private channel. Please DM the order number and the app or store where the charge appeared so we can investigate.,real tweet sample labeled using the project intent taxonomy
real-086,1780463.0,1780463,@AppleSupport phone keeps shutting off after update. Anyone else have this problem?,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-087,2082116.0,2082116,Thanks @115858 for making my phone practically useless. #iOShite,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-088,1768897.0,1768897,#watchos 4.1 update lukt niet !! Foutmelding “u moet verbonden zijn met het internet”.....terwijl dit wel het geval is !!?@AppleSupport,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-089,1454587.0,1454587,12h37. 20%. Full chargé à 8h15. Utilisation normale. @115858 @AppleSupport #iOS11 bêta 11.2 . https://t.co/K3VIV6eKTB,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-090,2736389.0,2736389,Updated my phone and still seeing boxes 🤬 @115858,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-091,546523.0,546523,"@AppleSupport How to fix ""No Service"" in ios 11.1.2 in iphone 6s fix bugs....",device_or_accessory_setup,False,"Please restart the device, forget and re-pair the accessory, and confirm Bluetooth is enabled. If it still fails, send a DM with the device model and setup step that is failing.",real tweet sample labeled using the project intent taxonomy
real-092,41650.0,41650,Hey @AppleSupport my iCloud mail is getting hammered with spam. Did you turn off filters? Under attack? LMK.,account_access,True,"You can reset your Apple ID or password at iforgot.apple.com. Please do not share passwords or one-time codes in public, and DM us if you still cannot sign in.",real tweet sample labeled using the project intent taxonomy
real-093,1546695.0,1546695,@115858 the update you did to fix the i from turning into a question mark didn’t work.,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-094,1771499.0,1771499,@115858 why does my phone charge for 10 mins at a time and then stop 😑 TEEEEEELLLLLL MEEEEE WHHHYYY,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-095,2893329.0,2893329,"@AppleSupport I am really struggling with my iPhone 5 iOS update, kindly assist",battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-096,1679282.0,1679282,This new @115858 update is messing with the predictive text is bothering me every time I️ type I️ I️ get the “A ?”,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-097,1508692.0,1508692,@AppleSupport are you able to run a remote diagnostics on my📱 to check battery health?,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-098,2402075.0,2402075,@115858 is really getting on my nerves right now . My phone and laptop wanna act dumb and they are completely updated . @122609 be ready .,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-099,1582115.0,1582114,@486995 @115858 it’s so frustrating! 🙆🏻‍♀️🤦🏻‍♀️,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-100,862171.0,862171,iOS11 is making my iPhone 6 obsolete cause it’s lagging like never before since i updated it wtf @AppleSupport,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-101,613145.0,613145,"@AppleSupport Quality control has slipped on iOS11.  (11.1.2) has all sorts of issues.  Apps not opening, apps freezing, installs freezing.  Reboots don't always clear it up either.",device_or_accessory_setup,False,"Please restart the device, forget and re-pair the accessory, and confirm Bluetooth is enabled. If it still fails, send a DM with the device model and setup step that is failing.",real tweet sample labeled using the project intent taxonomy
real-102,33378.0,33379,@AppleSupport Thanks!,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-103,2014270.0,2014270,"@AppleSupport message pops up every two minutes, but my iphone is up to date according to settings. please advise on how to correct this? https://t.co/5BP3fqfN6x",other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-104,1472766.0,1472767,@AppleSupport Thank you for the response. It happened randomly. And sometimes I couldn’t even log my passcode coz it always freezing. 😞,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-105,2440908.0,2440909,@AppleSupport No,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
